,SoS091a_CP04272_S249_L001,SoS055a_CP04272_S217_L001,UG006_CP04272_S262_L001,SoS042a_CP04272_S215_L001,SoS036a_CP04272_S211_L001,9B1L_CP04272_S278_L001,SoS024a_CP04272_S197_L001,SoS070a_CP04272_S227_L001,SoS078b_CP04272_S236_L001,SoS017a_CP04272_S191_L001,SoS098b_CP04272_S252_L001,P060_CP04272_S338_L001,P006_CP04272_S287_L001,SoS002a_CP04272_S177_L001,P012_CP04272_S291_L001,P031_CP04272_S310_L001,SoS081a_CP04272_S241_L001,P043_CP04272_S322_L001,SoS008a_CP04272_S185_L001,P026_CP04272_S305_L001,UG004_CP04272_S260_L001,SoS025a_CP04272_S199_L001,SoS098a_CP04272_S251_L001,SoS079b_CP04272_S238_L001,SoS017b_CP04272_S192_L001,SoS008b_CP04272_S186_L001,SoS081b_CP04272_S242_L001,SoS014a_CP04272_S189_L001,P009_CP04272_S288_L001,SoS042b_CP04272_S216_L001,SoS065b_CP04272_S224_L001,UG005_CP04272_S261_L001,SoS035a_CP04272_S209_L001,P004_CP04272_S285_L001,P018_CP04272_S297_L001,UG001_CP04272_S257_L001,SoS006b_CP04272_S184_L001,2B1L_CP04272_S276_L001,SoS078a_CP04272_S235_L001,SoS006a_CP04272_S183_L001,P041_CP04272_S320_L001,SoS065a_CP04272_S223_L001,P024_CP04272_S303_L001,P033_CP04272_S312_L001,SoS036b_CP04272_S212_L001,P055_CP04272_S333_L001,P010_CP04272_S289_L001,P001_CP04272_S282_L001,P019_CP04272_S298_L001,SoS018a_CP04272_S193_L001,SoS091b_CP04272_S250_L001,SoS018b_CP04272_S194_L001,P015_CP04272_S294_L001,P036_CP04272_S315_L001,SoS005b_CP04272_S182_L001,P056_CP04272_S334_L001,P051_CP04272_S330_L001,SoS082b_CP04272_S244_L001,SoS039b_CP04272_S214_L001,P023_CP04272_S302_L001,P034_CP04272_S313_L001,SoS077a_CP04272_S233_L001,SoS011b_CP04272_S188_L001,SoS033a_CP04272_S207_L001,P003_CP04272_S284_L001,SoS077b_CP04272_S234_L001,P057_CP04272_S335_L001,SoS082a_CP04272_S243_L001,SoS075a_CP04272_S231_L001,SoS039a_CP04272_S213_L001,UG009_CP04272_S263_L001,SoS031b_CP04272_S206_L001,SoS014b_CP04272_S190_L001,SoS075b_CP04272_S232_L001,P046_CP04272_S325_L001,P017_CP04272_S296_L001,P021_CP04272_S300_L001,SoS004a_CP04272_S179_L001,16B1NL_CP04272_S343_L001,P044_CP04272_S323_L001,P053_CP04272_S332_L001,SoS005a_CP04272_S181_L001,SoS087b_CP04272_S248_L001,9B1NL_CP04272_S279_L001,SoS035b_CP04272_S210_L001,SoS025b_CP04272_S200_L001,P029_CP04272_S308_L001,P059_CP04272_S337_L001,P025_CP04272_S304_L001,SoS027b_CP04272_S202_L001,SoS085b_CP04272_S246_L001,SoS069a_CP04272_S225_L001,P040_CP04272_S319_L001,UG010_CP04272_S264_L001,P042_CP04272_S321_L001,P013_CP04272_S292_L001,SoS004b_CP04272_S180_L001,P058_CP04272_S336_L001,SoS011a_CP04272_S187_L001,SoS063b_CP04272_S222_L001,P038_CP04272_S317_L001,P050_CP04272_S329_L001,SoS063a_CP04272_S221_L001,P027_CP04272_S306_L001,P011_CP04272_S290_L001,P032_CP04272_S311_L001,SoS087a_CP04272_S247_L001,SoS073a_CP04272_S229_L001,P020_CP04272_S299_L001,SoS069b_CP04272_S226_L001,17B1NL_CP04272_S273_L001,SoS085a_CP04272_S245_L001,P005_CP04272_S286_L001,P048_CP04272_S327_L001,P045_CP04272_S324_L001,SoS080a_CP04272_S239_L001,SoS024b_CP04272_S198_L001,P037_CP04272_S316_L001,SoS070b_CP04272_S228_L001,P049_CP04272_S328_L001,SoS055b_CP04272_S218_L001,SoS060a_CP04272_S219_L001,SoS002b_CP04272_S178_L001,SoS023a_CP04272_S195_L001,SoS100a_CP04272_S255_L001,P022_CP04272_S301_L001,SoS060b_CP04272_S220_L001,P016_CP04272_S295_L001,P035_CP04272_S314_L001,SoS023b_CP04272_S196_L001,P047_CP04272_S326_L001,17B1L_CP04272_S344_L001,P002_CP04272_S283_L001,UG003_CP04272_S259_L001,SoS100b_CP04272_S256_L001,P039_CP04272_S318_L001,SoS079a_CP04272_S237_L001,P030_CP04272_S309_L001,2B1NL_CP04272_S277_L001,P028_CP04272_S307_L001,SoS099a_CP04272_S253_L001,SoS099b_CP04272_S254_L001,P052_CP04272_S331_L001,SoS080b_CP04272_S240_L001,UG002_CP04272_S258_L001,SoS073b_CP04272_S230_L001,P014_CP04272_S293_L001
PAM beta-lactamase,2,0,0,0,6,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,2,0,4,2,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,6,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0
,1,0,0,0,0,5,2,1,0,8,0,1,66,0,0,1,0,0,0,0,2,0,0,0,10,2,0,0,4,0,0,1,21,0,0,0,1,2,0,0,3,1,9,6,3,0,3,0,0,3,2,7,0,22,2,0,0,0,0,1,5,0,0,0,0,0,0,6,10,0,3,6,1,11,0,0,0,2,46,0,0,0,0,9,13,0,0,0,0,1,5,0,1,0,3,2,0,0,0,0,0,0,0,18,0,0,6,0,10,0,0,1,4,0,0,0,2,2,0,0,0,23,0,2,0,5,0,0,0,0,0,0,1,3,10,0,3,4,14,5,1,1,2,7,0,0,0
ACT beta-lactamase,4,2,0,2,0,3,0,1,0,14,0,0,4,0,6,0,0,0,0,0,0,1,0,1,17,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,1,1,5,6,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,5,0,0,4,1,0,12,0,0,0,1,0,0,0,0,0,0,1,4,0,5,7,0,4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,5,5,0,0
small multidrug resistance (SMR) antibiotic efflux pump,3,15,20,5,27,21,1,15,0,105,38,18,46,15,18,0,84,6,3,13,12,24,18,4,186,50,439,44,7,4,4,23,74,0,153,8,36,0,0,8,6,12,162,13,87,0,56,12,0,30,24,103,1,103,55,183,0,12,20,29,7,0,7,2,1,0,0,24,76,4,6,17,33,62,26,99,0,20,199,233,0,61,33,43,248,3,9,0,1,17,35,38,4,14,153,3,2,8,0,10,0,63,3,38,0,19,35,5,81,4,80,16,17,0,0,27,8,3,1,1,10,566,2,34,7,21,79,4,0,19,0,33,13,5,4,0,18,0,73,37,15,12,136,24,9,1,29
defensin resistant mprF,1,47,61,20,63,15,0,38,0,394,117,19,56,47,56,0,238,7,21,33,13,18,28,31,139,32,732,171,5,8,14,0,93,0,217,20,91,6,0,38,16,23,323,16,111,0,156,4,0,15,35,54,3,205,64,362,0,43,22,110,18,15,6,15,15,0,0,78,87,17,10,27,21,68,50,196,0,38,98,866,0,73,93,40,387,11,9,0,4,32,93,15,13,1,244,7,1,43,3,12,0,165,12,29,0,19,102,13,142,4,188,52,13,4,0,97,16,7,32,3,10,1156,4,65,32,46,204,33,3,4,7,30,9,52,18,2,18,8,89,46,15,44,267,50,12,1,9
subclass B3 PEDO beta-lactamase,1,0,0,0,0,0,0,1,0,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,0,3,0,0,0,0,0,1,2,0,0,0,4,0,0,0,3,0,2,2,0,1,0,0,0,0,11,2,0,0,0,0,14,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,8,0,0,0,0
subclass B3 LRA beta-lactamase,1,0,1,6,4,24,0,4,0,24,1,9,15,0,8,2,0,0,0,1,3,3,0,2,28,9,1,3,0,0,1,3,9,0,0,0,5,4,0,2,0,4,26,10,1,0,4,4,0,18,5,32,1,24,14,1,0,0,0,0,6,0,2,0,0,0,0,0,11,1,6,3,5,22,0,1,0,1,18,3,6,9,27,49,27,0,4,0,0,0,12,0,0,4,6,1,0,0,1,3,3,1,5,6,0,0,2,0,7,0,1,1,7,1,0,1,6,6,1,0,0,2,0,6,4,1,5,0,5,1,0,2,2,12,5,0,6,3,10,5,0,0,21,36,2,0,1
glycopeptide resistance gene cluster;vanU,1,0,0,159,0,0,0,0,3,0,0,1,0,2,33,0,2,4,0,388,0,0,1,323,0,5,0,23,2,478,98,0,17,0,0,3,80,120,2,133,0,268,21,0,0,0,1,188,0,59,2,3,0,4573,139,0,4,0,0,0,0,275,489,47,198,430,0,1,2,0,0,0,0,3,0,0,0,14,2,134,0,143,0,0,182,15,0,1,0,4,0,320,69,0,0,0,0,0,458,54,0,307,168,8,0,0,0,7,0,326,0,0,0,412,0,0,0,0,0,3,4,0,0,2,0,0,0,0,0,3,19,2,6,12,23,0,108,0,166,2,0,0,67,0,248,0,7
ANT(4'),2,0,0,0,0,2,0,0,0,0,9,0,2,111,0,0,0,0,0,0,0,4,11,0,0,0,2,17,0,1,0,0,0,0,5,12,0,0,0,0,0,0,11,0,3,0,0,0,0,2,0,0,0,2306,0,0,1,0,0,0,5,0,0,0,0,0,0,2,2,0,0,12,0,6,2,0,0,35,88,1114,0,0,0,20,36,6,0,0,0,28,8,0,35,0,0,4,2,0,0,0,0,0,0,2,0,0,10,0,0,0,578,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,0,0,0,0,0,0,0,16,8,0,0,5,10,0,0
OXA beta-lactamase,1,0,0,0,4,6,0,0,3,13,0,0,85,0,0,6,3,2,0,0,1,7,0,7,2,2,0,3,0,0,0,1,110,0,5,3,2,0,0,0,0,2,2,10,8,0,9,0,0,10,1,12,0,33,1,2,0,0,0,2,14,0,0,0,1,0,0,1,2,2,6,25,16,7,0,10,0,1,67,9,0,1,0,19,28,0,4,0,0,0,1,0,11,3,1,0,10,0,0,1,0,3,0,7,0,15,0,0,0,0,4,1,16,2,4,1,0,1,5,0,0,0,0,1,0,26,0,0,0,5,0,0,0,5,1,6,0,2,12,12,0,0,71,11,0,0,0
CARB beta-lactamase,1,3,0,0,0,0,0,0,0,5,8,2,4,1,0,0,0,0,0,0,0,0,0,0,15,5,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,1,0,1,0,36,6,17,0,0,0,10,2,0,2,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,30,6,4,1,0,8,14,0,0,0,0,2,8,0,0,0,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,2,1,0,0,0,0,0,0,0,2,2,0,0,144,11,0,0,0
FAR beta-lactamase,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,4,1,3,0,3,0,0,0,0,0,4,0,12,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,2,11,6,0,0,0
AER beta-lactamase,1,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0
LMB beta-lactamase,1,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,2,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0
macrolide phosphotransferase (MPH),1,1,2,50,0,0,0,2,0,10,16,3,255,6,0,4,9,0,1,0,11,17,8,1,120,15,2,2,6,2,0,1,94,0,0,36,2,0,2,0,0,0,13,4,4,0,0,0,0,5,0,23,0,435,51,0,0,0,3,0,8,0,0,2,0,0,0,432,14,0,0,39,0,9,1,2,0,13,31,6,0,21,2,11,208,1,0,0,0,417,19,0,5,0,0,0,5,7,2,2,0,0,2,2,0,54,0,0,2,0,400,2,38,0,0,18,0,1,0,0,1,0,0,29,0,6,0,0,0,2,0,6,4,11,0,0,2,0,24,18,8,31,0,18,41,1,0
AAC(3),0,7,0,1,4,7,0,2,0,15,100,12,4,6,0,0,1,0,7,0,1,0,0,0,9,20,10,8,0,0,0,0,0,2,0,2,0,0,0,4,0,1,2,5,8,0,1,1,0,15,1,15,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,14,0,1,0,3,0,0,0,0,0,39,1,0,11,2,9,8,0,0,0,2,0,6,7,2,2,0,0,0,0,0,2,0,0,6,1,0,0,0,1,0,0,2,6,0,0,0,2,0,2,7,0,1,2,0,6,8,0,1,0,0,5,0,3,0,1,2,0,1,4,5,1,1,0,19,61,8,2,0
streptothricin acetyltransferase (SAT),0,5,0,2,0,3,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,4,0,0,14,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,38,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,6,0,0,0,2,0,0,0,0,0,0,3,0,2,2,2,3,3,0,0,0,0
fosfomycin thiol transferase,0,3,4,3,27,6,0,6,0,132,15,10,10,15,15,0,85,0,8,9,4,9,3,8,37,12,383,103,2,1,6,0,37,0,47,3,26,0,0,7,3,8,98,0,83,0,28,4,0,5,3,9,0,116,54,187,0,7,6,38,2,10,0,5,5,0,0,30,19,8,3,4,3,30,14,67,0,6,26,222,2,46,17,11,58,4,0,0,0,24,6,4,14,2,74,1,5,7,0,7,0,89,0,2,0,2,4,0,129,0,29,1,2,0,0,21,4,0,1,0,0,113,0,26,0,18,21,5,0,4,0,3,0,4,9,0,5,0,12,23,3,2,190,3,10,1,5
NDM beta-lactamase,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,1,0,16,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,25,0,0,0,0,16,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,14,0,1,0,0,0,0,0,0
rifampin ADP-ribosyltransferase (Arr),0,7,0,0,0,7,0,5,0,9,4,2,0,0,0,0,0,0,0,0,0,3,0,0,19,5,0,0,0,0,0,6,0,0,0,0,0,0,0,1,4,6,18,2,13,0,0,2,0,11,0,27,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,5,3,0,2,0,0,5,0,0,2,0,42,5,0,4,0,5,4,0,0,0,0,0,1,0,7,0,0,0,0,0,0,1,0,2,6,0,0,14,6,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,3,0,0,4,0,4,0,0,0,0,30,0,4,2
rifampin glycosyltransferase,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,2,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
APH(3'),0,23,9,17,8,18,9,77,9,99,7,8,449,8,73,2,10,2,19,0,7,13,31,3,17,11,31,6,0,14,7,39,17,0,14,70,1,3,1,0,0,43,38,5,32,0,11,11,0,25,33,29,0,25,36,12,2,19,0,12,9,0,1,1,1,1,0,8,43,2,2,20,8,37,20,0,0,9,20,152,0,36,27,8,91,9,4,0,0,6,99,4,75,7,28,1,2,11,3,0,2,0,9,6,5,3,7,4,4,1,11,23,54,11,0,8,16,4,130,0,1,30,12,12,33,2,3,3,0,96,0,6,2,13,3,0,24,5,13,49,9,2,0,15,26,0,0
glycopeptide resistance gene cluster;vanY,0,5,0,1,5,0,0,7,0,10,13,6,12,16,0,0,19,0,0,0,0,4,0,3,0,9,0,0,2,0,0,2,0,0,0,3,0,0,0,1,0,1,27,2,8,0,2,0,0,16,4,14,0,28,7,0,0,0,1,4,4,0,0,0,1,1,0,2,0,0,0,0,0,9,0,0,0,5,33,4,0,2,1,28,39,0,0,1,0,1,34,0,0,0,0,0,1,0,0,6,0,0,0,12,0,10,2,0,0,0,34,2,0,0,0,0,0,8,1,0,0,19,0,3,0,0,0,0,0,3,2,7,1,1,1,0,7,0,6,7,0,0,173,11,5,0,0
BKC Beta-lactamase,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
ANT(6),0,5,0,5,4,0,0,0,0,6,4,5,4,0,0,0,0,0,0,0,10,10,2,0,0,0,16,0,0,2,1,0,0,0,0,2,0,0,0,0,0,4,0,0,12,0,0,0,0,16,11,29,1,3,0,0,0,0,0,6,4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,4,0,0,0,0,0,5,0,0,0,0,0,29,0,0,3,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,6,3,2,0,0,3,0,0,1,0,5,0,0,2,0,2,0,0,0,2,0,15,0,7,0,0,6,0,0,0,4,0,0,0,0,0,1
AIM beta-lactamase,0,3,0,4,0,0,0,0,0,2,3,1,2,0,0,0,0,0,2,0,2,0,0,0,5,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,4,7,0,7,3,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,1,0,0,2,0,1,0,3,24,0,0,5,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,6,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,5,0,1,1,0,0
FIM beta-lactamase,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
subclass B1 Bacillus cereus Bc beta-lactamase,0,2,0,0,0,0,0,2,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,1,0,0,9,2,1,0
apm acetyltransferase,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,19,1,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2,0,0
MYX beta-lactamase,0,2,1,0,0,0,0,26,0,23,1,1,0,12,0,0,5,0,0,0,1,0,4,0,2,0,7,9,0,0,0,0,22,0,0,0,0,0,1,0,0,0,1,0,0,0,6,0,0,0,2,1,0,14,0,6,0,0,0,0,3,0,0,0,0,0,0,6,3,0,0,0,0,2,10,1,0,5,5,14,0,0,0,0,2,0,2,0,0,5,17,4,0,1,6,0,0,0,1,0,0,0,2,0,0,5,2,1,0,0,0,2,0,0,0,0,0,0,16,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
capreomycin phosphotransferase,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
lipid A acyltransferase;polymyxin resistance operon,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECF transporter S component,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HERA beta-lactamase,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEM beta-lactamase,0,1,2,0,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,2,3674,0,0,0,5,4,1,2,6,2,0,0,0,0,0,19,2,8,0,0,0,0,0,4,0,3,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,21,5,3,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,3,0,0,0,2,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,15,7,0,0,0
CTX-M beta-lactamase,0,1,0,0,0,4,0,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,9,0,1,0,0,0,0,1,0,0,3,2,3,0,0,0,0,0,6,2,6,0,0,5,0,0,0,7,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,0,0,14,2,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,11,7,0,0,0
non-erm 23S ribosomal RNA methyltransferase (A1067),0,4,0,29,0,0,0,1,144,0,0,0,0,36,1,0,0,0,0,46,2,5,0,43,7,4,0,0,0,72,21,0,0,0,0,27,63,43,149,60,0,30,10,0,0,0,20,8,0,55,0,26,0,393,16,0,0,0,10,2,0,47,87,13,29,66,0,64,6,91,1,20,0,0,0,0,0,47,4,28,0,17,2,20,26,79,0,0,1,71,2,56,2,0,0,0,43,35,80,32,0,18,80,1,0,16,0,27,0,49,0,1,0,63,0,0,0,10,0,0,0,84,30,3,0,0,3,0,0,10,2,0,0,2,1,0,21,6,44,0,12,17,17,1,47,20,2
ampC-type beta-lactamase,0,1,0,2,0,0,0,1,0,28,2,2,15,5,0,0,10,0,0,0,0,4,1,0,15,4,32,11,0,0,0,0,19,0,8,1,5,0,0,3,1,3,4,0,1,0,1,0,0,1,7,3,0,19,9,12,1,0,0,5,0,4,0,0,1,0,0,4,10,0,5,0,0,1,0,1,0,1,1,12,0,2,0,4,61,0,7,0,0,7,13,2,0,8,0,0,0,1,0,1,0,0,0,1,0,1,3,0,21,0,2,5,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,5,0,0,9,0,1,0,0,0,4,0,0,1,36,6,0,1,0
