,SoS091a_CP04272_S249_L001,SoS055a_CP04272_S217_L001,UG006_CP04272_S262_L001,SoS042a_CP04272_S215_L001,SoS036a_CP04272_S211_L001,9B1L_CP04272_S278_L001,SoS024a_CP04272_S197_L001,SoS070a_CP04272_S227_L001,SoS078b_CP04272_S236_L001,SoS017a_CP04272_S191_L001,SoS098b_CP04272_S252_L001,P060_CP04272_S338_L001,P006_CP04272_S287_L001,SoS002a_CP04272_S177_L001,P012_CP04272_S291_L001,P031_CP04272_S310_L001,SoS081a_CP04272_S241_L001,P043_CP04272_S322_L001,SoS008a_CP04272_S185_L001,P026_CP04272_S305_L001,UG004_CP04272_S260_L001,SoS025a_CP04272_S199_L001,SoS098a_CP04272_S251_L001,SoS079b_CP04272_S238_L001,SoS017b_CP04272_S192_L001,SoS008b_CP04272_S186_L001,SoS081b_CP04272_S242_L001,SoS014a_CP04272_S189_L001,P009_CP04272_S288_L001,SoS042b_CP04272_S216_L001,SoS065b_CP04272_S224_L001,UG005_CP04272_S261_L001,SoS035a_CP04272_S209_L001,P004_CP04272_S285_L001,P018_CP04272_S297_L001,UG001_CP04272_S257_L001,SoS006b_CP04272_S184_L001,2B1L_CP04272_S276_L001,SoS078a_CP04272_S235_L001,SoS006a_CP04272_S183_L001,P041_CP04272_S320_L001,SoS065a_CP04272_S223_L001,P024_CP04272_S303_L001,P033_CP04272_S312_L001,SoS036b_CP04272_S212_L001,P055_CP04272_S333_L001,P010_CP04272_S289_L001,P001_CP04272_S282_L001,P019_CP04272_S298_L001,SoS018a_CP04272_S193_L001,SoS091b_CP04272_S250_L001,SoS018b_CP04272_S194_L001,P015_CP04272_S294_L001,P036_CP04272_S315_L001,SoS005b_CP04272_S182_L001,P056_CP04272_S334_L001,P051_CP04272_S330_L001,SoS082b_CP04272_S244_L001,SoS039b_CP04272_S214_L001,P023_CP04272_S302_L001,P034_CP04272_S313_L001,SoS077a_CP04272_S233_L001,SoS011b_CP04272_S188_L001,SoS033a_CP04272_S207_L001,P003_CP04272_S284_L001,SoS077b_CP04272_S234_L001,P057_CP04272_S335_L001,SoS082a_CP04272_S243_L001,SoS075a_CP04272_S231_L001,SoS039a_CP04272_S213_L001,UG009_CP04272_S263_L001,SoS031b_CP04272_S206_L001,SoS014b_CP04272_S190_L001,SoS075b_CP04272_S232_L001,P046_CP04272_S325_L001,P017_CP04272_S296_L001,P021_CP04272_S300_L001,SoS004a_CP04272_S179_L001,16B1NL_CP04272_S343_L001,P044_CP04272_S323_L001,P053_CP04272_S332_L001,SoS005a_CP04272_S181_L001,SoS087b_CP04272_S248_L001,9B1NL_CP04272_S279_L001,SoS035b_CP04272_S210_L001,SoS025b_CP04272_S200_L001,P029_CP04272_S308_L001,P059_CP04272_S337_L001,P025_CP04272_S304_L001,SoS027b_CP04272_S202_L001,SoS085b_CP04272_S246_L001,SoS069a_CP04272_S225_L001,P040_CP04272_S319_L001,UG010_CP04272_S264_L001,P042_CP04272_S321_L001,P013_CP04272_S292_L001,SoS004b_CP04272_S180_L001,P058_CP04272_S336_L001,SoS011a_CP04272_S187_L001,SoS063b_CP04272_S222_L001,P038_CP04272_S317_L001,P050_CP04272_S329_L001,SoS063a_CP04272_S221_L001,P027_CP04272_S306_L001,P011_CP04272_S290_L001,P032_CP04272_S311_L001,SoS087a_CP04272_S247_L001,SoS073a_CP04272_S229_L001,P020_CP04272_S299_L001,SoS069b_CP04272_S226_L001,17B1NL_CP04272_S273_L001,SoS085a_CP04272_S245_L001,P005_CP04272_S286_L001,P048_CP04272_S327_L001,P045_CP04272_S324_L001,SoS080a_CP04272_S239_L001,SoS024b_CP04272_S198_L001,P037_CP04272_S316_L001,SoS070b_CP04272_S228_L001,P049_CP04272_S328_L001,SoS055b_CP04272_S218_L001,SoS060a_CP04272_S219_L001,SoS002b_CP04272_S178_L001,SoS023a_CP04272_S195_L001,SoS100a_CP04272_S255_L001,P022_CP04272_S301_L001,SoS060b_CP04272_S220_L001,P016_CP04272_S295_L001,P035_CP04272_S314_L001,SoS023b_CP04272_S196_L001,P047_CP04272_S326_L001,17B1L_CP04272_S344_L001,P002_CP04272_S283_L001,UG003_CP04272_S259_L001,SoS100b_CP04272_S256_L001,P039_CP04272_S318_L001,SoS079a_CP04272_S237_L001,P030_CP04272_S309_L001,2B1NL_CP04272_S277_L001,P028_CP04272_S307_L001,SoS099a_CP04272_S253_L001,SoS099b_CP04272_S254_L001,P052_CP04272_S331_L001,SoS080b_CP04272_S240_L001,UG002_CP04272_S258_L001,SoS073b_CP04272_S230_L001,P014_CP04272_S293_L001
LEN beta-lactamase,0,0,0,0,0,0,0,0,0,6.12E-05,0,5.43E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92E-05,0,0,0,0,0,0,0,0,0,7.35E-05,0,0,0,0,0,3.59E-05,0,0,0,0,0,1.43E-05,0,3.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59E-05,0,0,0,1.26E-05,0,0,5.48E-05,0,0,0
CfiA beta-lactamase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08E-05,0,0,0,0,0,0,0,2.72E-05,0,0,0,0,0,0,0,0.000174067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74E-05,0,0,0
fosC phosphotransferase family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000129216,0,0,0,0,0,1.75E-05,0,0,0,0,0,8.90E-06,0,0,0,0,0,0,0,0,0,1.19E-05,0,0,0,0,0,2.23E-05,0,0,0,3.61E-05,0,0,0,4.10E-05,4.08E-05,0,2.53E-06,4.62E-05,0,0,0,0,0,0.001020929,0,0,0,0,0,0,0,5.23E-05,0,0,0,0.000105891,7.79E-05,0,0,0,0,0.000128712,0,0,0,0,0,0,1.54E-05,0,0,0,0,0.000114278,0,0,0,0,0,2.46E-05,0,0,4.30E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47E-05,0,0,0,0,9.71E-06,0,0,0,0,0,0,0,0,0.000174095,0,0,0,5.18E-05,0,0,0,0,0,0.000270364,1.83E-05,8.41E-06,0,0
AST Beta-lactamase,0,0,0,0,0,0,0,8.43E-06,0,4.89E-05,5.13E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71E-05,7.15E-06,0,0,0,6.13E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004507889,0,0,0,0,0,0,2.04E-05,0,0,0,0,0,0,0,0,0,0,2.94E-05,0,0,0,0,0,0,0,0,0,0.000607903,0,0,0.000204332,0,0,0,0,0,0,0,0,0,0,0,4.56E-05,0,0,0
SHV beta-lactamase,0,0,0,0,0,0,0,8.43E-06,0,2.45E-05,0.000667111,0,0,0,0,0,0,0,0,0,1.75E-05,0,0,0,0,6.60E-05,0,0,0,0,0,4.87E-05,0.000978865,0,0,0,0,0,0,0,0,0,5.58E-06,0,0,0,0,1.43E-05,0,8.59E-06,0,2.04E-05,0,1.26E-06,9.24E-05,0,0,0,0,0,0,0,6.92E-06,0,0,0,0,1.08E-05,2.62E-05,0,2.08E-05,0,0,0,0,0,0,0,1.84E-05,0,0.001363327,0,0,3.73E-05,0,0,0,0,0,0,1.43E-05,0,0.000232418,0,0,0,0,0,0,0,0.00150263,0,0,0.000144331,0,0,0,2.04E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76E-05,2.53E-05,0,0.000240323,0.00011865,0,0,0
Bleomycin resistant protein,0,0,0,0,0,0,0,1.69E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000192292,8.25E-05,1.78E-05,0,0.000438789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.45E-05,0,0,2.86E-05,0,2.58E-05,0,7.15E-05,0,5.89E-06,0.000115457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000141188,1.95E-05,0,0,0,3.40E-05,0.000330974,0,0,0,9.23E-06,0,7.18E-05,0,0,0,0,6.22E-06,8.57E-05,0,0,0,0,0,0,0,0,0.000107492,0,0,5.05E-05,0,0,0,0,0,0,0,0,6.90E-05,0,0,0,0,0,0.000506158,0,0,0,0,0,0,7.63E-05,0,0,0,0,0,0,0,0,3.82E-05,0,0,0,0,0,0,2.53E-05,0,0,1.83E-05,0,0,0
GES beta-lactamase,0,0,0,0,0,0,0,1.69E-05,0,0,0,0,5.13E-05,0,0,0,0,0,0,0,0,0,0,0,0,1.65E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02E-05,0,2.53E-06,0,0,0,0,0,0,0.000765697,0,0,0,0,0,0,0,0,0,0,0,3.53E-05,0,4.03E-05,0,0,0,3.68E-05,0,0,0,0,0,0,0,0,0,0,0,4.29E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000144331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51E-05,9.13E-06,0,0,0
SPN79 beta-lactamase,0,0,0,0,0,0,0,0.000118028,0,0.000134565,0,0,0,1.22E-05,0,0,0.000131819,0,0,0,0,0,3.62E-05,0,0,0,8.90E-06,0.000138639,0,0,0,0,0,0,0,1.53E-05,0,0,1.02E-05,0,0,0,0,0,0,0,4.51E-05,0,0,8.59E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000141188,0,0,0,0,0.000170195,0,0,0,0,0,0,0,0,0,0,0,1.24E-05,8.57E-05,0,0,5.42E-05,0,0,0,0,0,0,0,0,0,0,0,3.13E-05,0.000143767,0,0,0,0,0,0,0,0,0,0,0,1.47E-05,0,0,0,0,1.94E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APH(2''),0,0,0,0,0,0,0,1.69E-05,0,1.22E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.61E-05,1.65E-05,0,0,0,0,0,0,0,0,0,0,2.37E-05,6.43E-05,0,0,0,0,0,0,8.60E-05,0,9.03E-06,0,0,1.72E-05,0,1.02E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82E-05,0,0,0,0,0,0,0,0,0,9.13E-06,0,0,0
SME beta-lactamase,0,0,0,0,0,0,0,8.43E-06,0,1.22E-05,0,0,7.70E-05,1.22E-05,0,0,0,0,0,0,0,0,0,0,0.000128195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000510465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000147099,0,0,0,0,0,1.20E-05,0,0,0,0,0,0,0,7.75E-05,0,0,0,0,0,0,0,0,0,0,7.22E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000696379,0,0,0,0,0,0,1.76E-05,0,2.90E-05,0,0.000100396,0,0,0
L1 family beta-lactamase,0,0,0,0,0,0,0,8.43E-06,0,1.22E-05,0,0,0,0,0.000147675,0,0,0,0,0,0,0.000154208,0,0,9.61E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000220649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.82E-06,0,0,0,8.42E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIA beta-lactamase,0,0,0,0,0,0,0,8.43E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000515066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
class A LRA beta-lactamase,0,0,0,0,0,0,0,0,0,2.45E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000222469,0,0,0,1.19E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001336005,0,1.43E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tunicamycin resistance protein,0,0,0,0,0,0,0,0,0,2.45E-05,0,0,0,1.22E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43E-05,0,0,0,0,0,0,0,0,0,0,0,1.72E-05,0,2.04E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.13E-06,0,0,0
mgt macrolide glycotransferase,0,0,0,0,0,0,0,0,0,4.89E-05,0,5.43E-05,0.000102672,0,0,0,0,0,0,0,0,0,0,0,0,4.95E-05,0,0,0,0,0,0,0,0,2.70E-05,0,1.19E-05,0,0,0,0,0,0,0,0,0,0,0,0,8.59E-06,0,0,0,8.42E-07,0,0,0,0,0,0,0,0,0,0,0,0,0.012345679,0,0.000431514,0,0,1.36E-05,0,0.000214149,0,0,0,0,0.000753884,0,0,0,0,0,2.39E-05,0,0,0,0,0,0,0,0,3.61E-05,0,0,0,0,0,0.000107492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47E-05,0,0,9.09E-06,0,0,0,0,0,0,0,0,0,0.000681106,0,0,0,0,2.59E-05,0,0,0,0,0,0,3.65E-05,0,0,0
EVM beta-lactamase,0,0,0,0,0,0,0,0,0,4.89E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000141188,0,0,0,0,0,0,0,0,0,0,0,3.59E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000137998,0,0,0,0,0,0,0,0,0,0,0,2.91E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edeine acetyltransferase,0,0,0,0,0,0,0,0,0,7.34E-05,0,0,0,0,0,0,0,0,0,0,3.51E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.24E-06,0,0,0,1.95E-05,0,0,0,0,0,0,0,5.78E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05E-05,0,0,0,0,6.90E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGM beta-lactamase,0,0,0,0,0,0,0,0,0,7.34E-05,0,0,7.70E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001531394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000144331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.13E-06,0,0,0.000227247
ADC beta-lactamase without carbapenemase activity,0,0,0,0,0,0,0,0,0,2.45E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75E-06,0,2.47E-05,0,0,0,0,2.44E-05,0,0,0,0,0,0,0,0,0,0,0,5.58E-06,0,0,0,0,0,0,8.59E-06,0,4.08E-05,0,0,0,0,0,0,0,0,0.000510465,0,0,0,0,0,0,0,0,0,0,2.72E-05,0.000211782,0,0,0,0,3.40E-05,0.000165487,0,0,1.93E-05,0,1.24E-05,1.20E-05,0,0,0,0,0,0,0,0.000154945,0.000198807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000104131,0,0,0,0,5.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53E-05,0,0,0,0,3.21E-05,0,2.59E-05,0,3.35E-05,0,0,1.45E-05,0,0,0,0,0
blaF family beta-lactamase,0,0,0,0,0,0,0,0,0,3.67E-05,0,0,0,0,0,0,0,0,0,0,1.75E-05,0,0,0,6.41E-05,8.25E-06,0,0,0,7.19E-06,0,0,0,0,0,0,0,0,0,0,0,0,1.12E-05,0,0,0,0,7.15E-06,0,0,0,1.02E-05,0,3.37E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000104609,0,0,0,0,0,0,0,0,0,0.000128712,0,0,5.78E-05,0,0,0,0,0,0,0,0,2.86E-05,0,0,0,7.61E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.57E-05,0,2.94E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26E-05,0,0,0,0,0,0
IMI beta-lactamase,0,0,0,0,0,0,0,0,0,0.000159031,0,0,0,3.66E-05,0,0,0,0,0,0,0,0.00019276,0,0,0,0,4.45E-06,0,0,0,0,0,0.000756396,0,0,0,0,0,0,3.18E-05,0,1.11E-05,0,0,0,0,0,0,0,0,0,1.02E-05,0,1.26E-05,0,4.10E-05,0,0,0,0.000434122,0,0,0,0,5.71E-05,0,0,2.16E-05,0,0,0,0,7.06E-05,0,0,1.36E-05,7.43E-05,3.40E-05,0.000128712,4.39E-05,0,1.93E-05,0,7.46E-05,0.000107697,0,0,0,0,1.24E-05,0,1.10E-05,0,0,0.002472517,0,0,0,0,0,0,8.34E-06,8.42E-06,0.000216497,0,0,2.05E-05,0,9.54E-06,0,0.000902464,0,0,0,0,0,0,0,0,0,0,0,1.63E-05,1.94E-05,0,0.000521648,0,0,0,0,0.000141543,0.000476774,0.000348189,0,3.21E-05,0,0,0,5.03E-05,0,0,0,0.002538414,1.83E-05,0,0,0
IDC beta-lactamase,0,0,0,0,0,0,0,0,0,4.89E-05,0,0,0,0,0,0,0,0,0,0,0,0,3.62E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.59E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46E-05,2.39E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.13E-06,0,0,0
JOHN beta-lactamase,0,0,0,0,0,0,0,0,0,4.89E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sed beta-lactamase,0,0,0,0,0,0,0,0,0,3.67E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95E-05,0,0,0,0,0,0,0,0,0.000257424,0,0,0,0,0,2.39E-05,0,0,0,0,0,0,0,3.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMB beta-lactamase,0,0,0,0,0,0,0,0,0,4.89E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.97E-05,0,0,0,0,0,0,2.86E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fusidic acid inactivation enzyme,0,0,0,0,0,0,0,0,0,2.45E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000144331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.13E-06,0,0,0
CSP beta-lactamase,0,0,0,0,0,0,0,0,0,7.34E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000533927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.38E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBR beta-lactamase,0,0,0,0,0,0,0,0,0,4.89E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001735261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPC beta-lactamase,0,0,0,0,0,0,0,0,0,2.45E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.59E-06,0,0,0,4.21E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31E-05,0,0,0,0,3.89E-05,0,0,0,3.40E-05,1.84E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04E-05,0,0,0,0,0,0,0,0,0,0.000506158,0,0,0,0,0,0,0,0,0,0,0,0,0.000283086,0,0,0,3.21E-05,0,0,0,3.35E-05,0,3.79E-05,0,0,0,0,0,0
DES beta-lactamase,0,0,0,0,0,0,0,0,0,2.45E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000107548,0,0,0,0,0,0,1.02E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14E-05,0,0,0,0,0,0,0,0,0,0.000751315,8.34E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000162734,0,0,0,0,0,0,0,0,0,0,6.71E-05,0,0,0,0,0,0,0,0
SPM beta-lactamase,0,0,0,0,0,0,0,0,0,2.45E-05,0,0,5.13E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCL Beta-lactamase,0,0,0,0,0,0,0,0,0,2.45E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000352536,0,0,0,0,0,0,0,0,0,0,0,1.19E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000257533,0,0,0,0,0,2.94E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83E-05,0,0,0
